model,rule_name,_sys_doc_id,description,is_default_rule
CompaniesListPriceStats,RETURN_CRM_UNIT_PRICE,103006,"Big variability in unit prices and quantity = 1, return unit price.",false
CompaniesListPriceStats,RETURN_CRM_LIST_PRICE,103007,No variablility of crm list price during period. Return list price.,true
AccountsCreatedon,END_ACCOUNTS_CRM_CREATEDON,104001,Account createdon becomes the end date,true
AccountsCreatedon,END_ACCOUNTS_FIRST_OPPS_CREATEDON,104002,"Opps present before account createdon, first opp createdon becomes the end date",false
AccountsCreatedon,END_ACCOUNTS_FIRST_CONTACTS_CREATEDON,104003,"Contacts present before account createdon, first contact createdon becomes the end date",false
OppsCreatedon,END_OPPS_CLOSED_ON_EARLER_THAN_CREATEDON,105001,"Opp close date earlier than createdon, move createdon back",false
OppsCreatedon,END_OPPS_CRM_CREATEDON,105002,Opp CRM createdon becomes the created date,true
OppsCreatedon,END_OPPS_FIRST_HISTORY_STAGE,105003,"Opp history stages present before the createdon, move createdon back",false
OppsCreatorid,CREATOR_OPPS_CRM_CREATORID,106001,Opp creator is the creator in th CRM,true
OppsCreatorid,CREATOR_OPPS_HATLEAD_OWNERID,106002,Opps creator is the owner of the hatlead,false
LeadsCloseDate,END_LEADS_CRM_CONVERTED,107001,"Lead is converted, close date is converted_date",true
LeadsCloseDate,END_LEADS_DISQUALIFIED,107002,"Lead is disqualified, close date is last touched date if touched, and createdon if not, adding lead_touch_cycle days if only one touch to have > 0 prospecting days",false
LeadsCloseDate,END_LEADS_NO_ACTIVITY_RECORDED_IN_CREATION_PLUS_LEAD_TOUCH_CYCLE_PLUS_LEAD_ABANDONMENT_CYCLE,107003,"Lead is ignored: no activity within creation date + lead_touch_cycle + lead_abandonment_cycle, close date is createdon + lead_touch_cycle + lead_abandonment_cycle",false
LeadsCloseDate,END_LEADS_NO_MORE_ACTIVITES_DETECTED_IN_LEAD_ABANDONMENT_CYCLE,107004,"Lead is abandoned: no further activity within last touch + lead_abandonment_cycle, close date is last touch + lead_abandonment_cycle",false
LeadsCloseDate,END_LEADS_STILL_OPEN,107005,"Lead is still open, close date is None",false
AccountsCloseDate,END_ACCOUNTS_CRM_CONVERTED,108001,"Account is converted, close date is converted_date",true
AccountsCloseDate,END_ACCOUNTS_NO_ACTIVITY_RECORDED_IN_CREATION_PLUS_LEAD_TOUCH_CYCLE_PLUS_LEAD_ABANDONMENT_CYCLE,108002,"Account is ignored: no activity within creation date + lead_touch_cycle + lead_abandonment_cycle, close date is createdon + lead_touch_cycle + lead_abandonment_cycle",false
AccountsCloseDate,END_ACCOUNTS_NO_MORE_ACTIVITES_DETECTED_IN_LEAD_ABANDONMENT_CYCLE,108003,"Account is abandoned: no further activity within last touch + abandonment_cycle, close date is last touch + abandonment_cycle",false
AccountsCloseDate,END_ACCOUNTS_STILL_OPEN,108004,"Account is still open, close date is None",false
OppsCloseDate,END_OPPS_CRM_CLOSED,109001,"Opp is CRM closed: is_closed is True and close date < asof, returning crm_close_date",true
model,rule_name,_sys_doc_id,description,is_default_rule
UsersHrInfo,NO_MATCH,120006,Neither email nor full name matched,false
UsersGroup,UNIQUE_EXACT_MATCH,121001,Exactly one value matched exactly,true
UsersGroup,UNIQUE_FUZZY_MATCH,121002,Exactly one value returned from a fuzzy match,false
UsersGroup,MORE_THAN_ONE_FUZZY_MATCH,121003,"More than one value returned from a fuzzy match, unable to determine which one is correct",false
UsersGroup,USER_OVERRIDE,121004,Group overriden by user,false
UsersGroup,NO_MATCH,121005,No exact match nor fuzzy match found,false
UsersGroup,MANAGERS_GROUP,121006,Value based on user's manager's value,false
UsersGroup,CRM_VALUE,121007,Value based on crm value,false
OppsBookingAmt,SUM_OF_OPP_LINE_ITEMS_TOTAL_PRICE,122001,"Opp line items present, summing over their total_price",true
OppsBookingAmt,NO_OPP_LINE_ITEMS_USE_CRM_AMOUNT,122002,"Opp line items not present, use the CRM amount field",false
OppsBookingAmt,CUSTOM_MAPPING_IN_OPPS_USE_MAPPED_CRM_FIELD,122003,"Custom mapping in opps, use the CRM amount field that was mapped",false
CompaniesNumEmployeesMedian,MEDIAN_NUM_EMPLOYEES_BASED_ON_MEDIAN,123001,Enough data to use the actual median for imputing,true
CompaniesNumEmployeesMedian,MEDIAN_NUM_EMPLOYEES_BASED_ON_DEFAULT_350,123002,"Not enough data to use the actual median for imputing, using default 350",false
SsrType,NO_ACCOUNT_EXISTS,124001,"No account present, only lead",false
SsrType,SALES_STEPS_PRESENT,124002,"Account present, sales steps present",false
SsrType,ACCOUNT_TYPE,124003,Returning account type,true
SsrHistoryOutcomeLeadGen,OUTCOME_NEW_LEAD_CREATED,125001,"New lead created, the the outcome is 'untouched' till activities performed",false
SsrHistoryOutcomeLeadGen,OUTCOME_NEW_ACCOUNT_CREATED,125002,"New account created, the the outcome is 'untouched' till activities performed",false
SsrHistoryOutcomeProspecting,OUTCOME_IGNORED_NO_ACTIVITIES_IN_CREATEDON_PLUS_180_DAYS,126001,Lead ignored: no activity in 180 days since creation,false
SsrHistoryOutcomeProspecting,OUTCOME_PROSPECTING_ACTIVITY_RECORDED,126002,Lead prospecting started: first_touch is not None,true
SsrHistoryOutcomeProspecting,OUTCOME_LEAD_DISQUALIFIED,126003,Lead disqualified,false
SsrHistoryOutcomeProspecting,OUTCOME_LEAD_CONVERTED,126004,Lead converted,false
SsrHistoryOutcomeProspecting,OUTCOME_ABANDONED_NO_MORE_ACTIVITES_IN_LEAD_ABANDONMENT_CYCLE,126005,Lead abandoned: no activities in lead abandonment cycle days since last touched,false
SsrHistoryOutcomeSelling,OUTCOME_CRM_ISWON_FLAG_SET_TRUE,127001,Opp won in CRM,false
SsrHistoryOutcomeSelling,OUTCOME_CRM_ISWON_FLAG_SET_FALSE,127002,Opp lost in CRM,false
SsrHistoryOutcomePostSalesSupport,OUTCOME_EXISTING_CUSTOMER_SELLING_STARTED,128001,Postselling successful: existing customer selling opp is created,false
SsrHistoryOutcomePostSalesSupport,OUTCOME_CHURNED,128002,Postselling failed: no existing customer selling opp created and activities stopped,false
SsrHistoryOutcomeRecycled,OUTCOME_PROSPECTING_RESTARTED_NEW_LOGO,129001,Restarting prospecting succeeded: another new logo created,false
SsrHistoryOutcomeRecycled,OUTCOME_PROSPECTING_SELLING_ABANDONED,129002,Restarting prospecting failed: no more opps created and activities stopped,false
SsrHistoryEndPostSalesSupportRecycled,END_CHURNED_LAST_WON_OPP_PLUS_FULL_YEARS,130001,Postselling ends after a number of full years without existing customer selling opp creation,false
SsrHistoryEndPostSalesSupportRecycled,END_PROSPECTING_LAST_LOST_NEW_LOGO_PLUS_FULL_YEARS,130002,Restarting prospecting ends after a number of full years without another new logo creation,false
SsrHistoryOwnershipPostSalesSupportRecycled,OWNERSHIP_ACCOUNTS_CRM_OWNER,131001,Account owner is the CRM owner,false
SsrHistoryOwnershipPostSalesSupportRecycled,OWNERSHIP_ACCOUNTS_CRM_OPP_CREATOR_SELLING_STARTED_AT_OR_AFTER_OPP_CREATION,131002,"Selling started at or after the CRM opp creation date, so the CRM creator of the opp becomes the owner",false
model,rule_name,_sys_doc_id,description,is_default_rule
OppHistoriesActivityStats,ADJUSTED_DURATION_ENOUGH_ACTIVITY_CAPTURE_LEVEL,116002,"Activity Capture Level enough, use the present value",true
CurrencyConversion,NO_CURRENCY_CONVERSION_APPLIED,117001,Record was in company currency - no conversion needed,true
CurrencyConversion,CURRENCY_CONVERSION_APPLIED,117002,Record was in other supported currency - conversion applied,false
CurrencyConversion,NO_CURRENCY_CONVERSION_POSSIBLE_NO_CURRENCY,117003,No currency info supplied,false
CurrencyConversion,NO_CURRENCY_CONVERSION_POSSIBLE_NOT_SUPPORTED_CURRENCY,117004,Record was in a non-supported currency,false
ActivitiesInteractionPurpose,ACCOUNT_TYPE_INTERNAL,118001,Account type determined as internal,false
ActivitiesInteractionPurpose,BEFORE_HATLEAD_CREATION_AND_HATLEAD_UNTOUCHED,118002,"Activity performed before hat lead created date, and hatlead untouched, becomes internal",false
ActivitiesInteractionPurpose,BEFORE_HATLEAD_CLOSE_DATE,118003,"Activity performed before hat lead close date, becomes prospecting",false
ActivitiesInteractionPurpose,OPPID_WON_AFTER_CLOSE_DATE_OR_LOST_EXISTING_CUSTOMER_SALE,118004,"Oppid present, activity performed after won close date, or after existing customer sale lost close date, becomes post-sales support",false
ActivitiesInteractionPurpose,OPPID_NL_LOST_AFTER_CLOSE_DATE,118005,"Oppid present, activity performed after new logo lost close date, becomes recycled prospecting",false
ActivitiesInteractionPurpose,OPPID_BEFORE_CLOSE_DATE_OR_BEFORE_START_DATE_BUT_NO_PREV_CLOSED_OPPS,118006,"Oppid present, activity performed before close date, or before selling start date with no previous opps closed, becomes New Logo Selling/Existing Customer Selling",true
ActivitiesInteractionPurpose,OPPID_BUT_BEFORE_START_DATE_WITH_PREV_WON_OPPS,118007,"Oppid present, activity performed before selling start date, with previous opps won, becomes post-sales support",false
ActivitiesInteractionPurpose,OPPID_BUT_BEFORE_START_DATE_WITH_PREV_CLOSED_OPPS_NOT_WON,118008,"Oppid present, activity performed before selling start date, becomes recycled prospecting",false
ActivitiesInteractionPurpose,NO_OPPID_ONE_OPEN_OPP,118009,"Oppid absent, but one open opp present, becomes New Logo Selling/Existing Customer Selling",false
ActivitiesInteractionPurpose,NO_OPPID_ONE_OPEN_OPP_BY_ACT_OWNER,118010,"Oppid absent, but one open opp by activity owner present, becomes New Logo Selling/Existing Customer Selling",false
ActivitiesInteractionPurpose,NO_OPPID_ONE_OPEN_OPP_LATER_WON_BY_ACT_OWNER,118011,"Oppid absent, but one open opp that is later won present, becomes New Logo Selling/Existing Customer Selling",false
ActivitiesInteractionPurpose,NO_OPPID_LATEST_OPP,118012,"Oppid absent, but many open opps present, choosing the most recent one, becomes New Logo Selling/Existing Customer Selling",false
ActivitiesInteractionPurpose,NO_OPPID_NO_OPEN_OPPS_BUT_WON_OPPS,118013,"Oppid absent, but activity performed after conversion date, won opps present, becomes Existing Customer Selling",false
ActivitiesInteractionPurpose,NO_OPPID_NO_OPEN_OPPS_BUT_LOST_OPPS,118014,"Oppid absent, but activity performed after conversion date, won opps absent, becomes recycled prospecting",false
Lookup,SELF,119001,"Value present, no need to look up",true
Lookup,HATLEAD,119002,Value looked up from hatlead,false
Lookup,ACCOUNT,119003,Value looked up from account,false
Lookup,LEAD,119004,Value looked up from lead,false
Lookup,OPP,119005,Value looked up from opp,false
Lookup,CONTACT,119006,Value looked up from contact,false
Lookup,SELF_ND,119007,"ND value present, and no non-ND value in other entities",false
Lookup,SAME_CREATOR_OWNER,119008,"Value is absent but creator is the same as owner, returning Rep Lead Gen",false
Lookup,IMPUTED_MEDIAN,119009,"ND value present, and no non-ND value in other entities, imputing median",false
UsersHrInfo,NO_HR_FILE,120001,No hr file found,false
UsersHrInfo,MATCHED_EMAIL,120002,Exact match found for user's crm_email,false
UsersHrInfo,MATCHED_FULLNAME,120003,Exact match found for user's crm_fname + crm_lname,false
UsersHrInfo,FUZZY_MATCH,120004,Fuzzy match found for user's name,false
UsersHrInfo,USER_OVERRIDE,120005,User ID overriden by user,true
model,rule_name,_sys_doc_id,description,is_default_rule
OppsCloseDate,END_OPPS_NOT_CLOSED,109002,"Opps is still open in CRM, close date is None",false
OppsCloseDate,END_OPPS_CLOSE_DATE_IN_THE_FUTURE,109003,"Opps is closed in the CRM but the close date is in the future, so the opp remains open asof now, close date is None",false
LeadsFirstTouch,END_LEADS_NOT_HATLEAD,110001,"Lead is a not a hatlead, returning None",false
LeadsFirstTouch,END_LEADS_FIRST_ACTIVITY_RECORDED,110002,First touch is performedon of the first activity,true
LeadsFirstTouch,END_LEADS_NO_ACTIVITIES_BUT_CONVERTED,110003,"No activities but lead converted, returning createdon",false
LeadsFirstTouch,END_LEADS_NO_ACTIVITIES_BUT_DISQUALIFIED,110004,"No activities but lead disqualified, returning createdon",false
LeadsFirstTouch,END_LEADS_UNTOUCHED,110005,"No activities and lead is not converted nor disqualified, therefore untouched",false
LeadsFirstTouch,END_LEADS_NO_ACTIVITES_USE_MIDDLE_BETWEEN_CREATED_AND_CRM_LAST_ACTIVITY,110006,"No activities but crm last activity time present, user middle between createdon and last activity time as first touch",false
AccountsFirstTouch,END_ACCOUNTS_NOT_HATLEAD,111001,"Account is a not a hatlead, returning None",false
AccountsFirstTouch,END_ACCOUNTS_FIRST_ACTIVITY_RECORDED,111002,First touch is performedon of the first activity,false
AccountsFirstTouch,END_ACCOUNTS_NO_ACTIVITIES_BUT_CONVERTED,111003,"No activities but account converted, returning createdon",false
AccountsFirstTouch,END_ACCOUNTS_UNTOUCHED,111004,"No activities and account is not converted nor disqualified, therefore untouched",false
AccountsFirstTouch,END_ACCOUNTS_NO_ACTIVITES_USE_MIDDLE_BETWEEN_CREATED_AND_CRM_LAST_ACTIVITY,111005,"No activities but crm last activity time present, user middle between createdon and last activity time as first touch",false
LeadsLastTouch,END_LEADS_NOT_HATLEAD,112001,"Lead is a not a hatlead, returning None",false
LeadsLastTouch,END_LEADS_LAST_ACTIVITY_RECORDED,112002,Last touch is performedon of the last activity,true
LeadsLastTouch,END_LEADS_NO_ACTIVITIES_BUT_CONVERTED,112003,"No activities but lead converted, returning createdon",false
LeadsLastTouch,END_LEADS_NO_ACTIVITIES_BUT_DISQUALIFIED,112004,"No activities but lead disqualified, returning createdon",false
LeadsLastTouch,END_LEADS_UNTOUCHED,112005,"No activities and lead is not converted nor disqualified, therefore untouched",false
LeadsLastTouch,END_LEADS_NO_ACTIVITES_USE_CRM_LAST_ACTIVITY,112006,"No activities but crm last activity time present, user middle last activity time as last touch",false
AccountsLastTouch,END_ACCOUNTS_NOT_HATLEAD,113001,"Account is a not a hatlead, returning None",false
AccountsLastTouch,END_ACCOUNTS_LAST_ACTIVITY_RECORDED,113002,Last touch is performedon of the last activity,true
AccountsLastTouch,END_ACCOUNTS_NO_ACTIVITIES_BUT_CONVERTED,113003,"No activities but account converted, returning createdon",false
AccountsLastTouch,END_ACCOUNTS_NO_ACTIVITIES_BUT_DISQUALIFIED,113004,"No activities but account disqualified, returning createdon",false
AccountsLastTouch,END_ACCOUNTS_UNTOUCHED,113005,"No activities and account is not converted nor disqualified, therefore untouched",false
AccountsLastTouch,END_ACCOUNTS_NO_ACTIVITES_USE_CRM_LAST_ACTIVITY,113006,"No activities but crm last activity time present, user middle last activity time as last touch",false
LeadsConvertedDate,END_LEADS_LEAD_IS_CONTACT,114001,"Lead is a contact, not lead, converted date is None",false
LeadsConvertedDate,END_LEADS_ACCOUNT_CONVERTED_DATE,114002,Use account converted date based on first opp start date,true
OppsStartDate,END_OPPS_CLOSED_BEFORE_CREATEDON,115001,"Opp is closed before createdon, ae date set to close date",false
OppsStartDate,END_OPPS_HISTORY_STAGES_BEFORE_CREATEDON,115002,"Opp has history stages present before createdon, ae date set to close date",false
OppsStartDate,END_OPPS_NO_HANDOFF_RETURNING_ML_CREATEDON,115003,"Opp handoff happened at opp creation date, ae date set to createdon",true
OppsStartDate,END_OPPS_HANDOFF_BEFORE_OPP_CREATION,115004,Opp handoff from SDR to AE happened on the date of the AE's first activity on the lead,false
OppsStartDate,END_OPPS_HANDOFF_AFTER_OPP_CREATION,115005,Opp handoff from SDR to AE happened on the date of the AE's first activity on the opp.,false
OppHistoriesActivityStats,ACTIVITY_CAPTURE_LEVEL_TOO_LOW_RETURN_NONE,116001,"Activity Capture Level too low, return None",false
